AÑO,DECADA,AÑO_NM,MINUTOS,HORAS,DURACION_NM,GENERO,GENERO_NUM,GENERO_NM,DIRECCION,DIRECCION_NUM,PROTAGONISTA,PROTAGONISTA_NUM,JUAN_PALOMO,PAIS,PAIS_NUM,PAIS_NM,VOTOS,POPULARIDAD,POPULARIDAD_NM,NOTA
2018,110,6.404117647058824,150,2,6.708482438701127,Drama,7,6.638080216313655,Paolo Sorrentino,1623,Toni Servillo,2142,0,Italia,41,6.670769230769231,3243,1,6.494793536804309,6.3
2004,100,6.620125786163522,100,1,6.486925287356322,Thriller,14,6.4992,Matthew Vaughn,1417,Daniel Craig,474,0,Reino Unido,60,6.503030303030303,15310,1,6.494793536804309,6.8
2016,110,6.420958083832336,107,1,6.486925287356322,Drama,7,6.638080216313655,Pablo Larraín,1611,Luis Gnecco,1380,0,Chile,16,6.54375,3479,1,6.494793536804309,6.2
2016,110,6.420958083832336,134,2,6.708482438701127,Aventuras,2,6.480645161290322,Terry George,2052,Oscar Isaac,1702,0,Estados Unidos,26,6.506012378426171,2907,1,6.494793536804309,6.3
2022,120,6.454545454545454,125,2,6.708482438701127,Drama,7,6.638080216313655,Alberto Rodríguez,47,Miguel Herrán,1581,0,España,25,6.403389830508475,13496,1,6.494793536804309,7.0
1999,90,6.656880733944955,125,2,6.708482438701127,Drama,7,6.638080216313655,Max Färberböck,1422,Maria Schrader,1440,0,Alemania,1,6.597499999999999,1507,1,6.494793536804309,7.0
1999,90,6.656880733944955,108,1,6.486925287356322,Drama,7,6.638080216313655,Eric Valli,601,Thilen Lhondup,2101,0,Nepal,50,6.7,1168,1,6.494793536804309,6.7
2009,100,6.470779220779221,153,2,6.708482438701127,Fantástico,8,6.429508196721312,David Yates,492,Daniel Radcliffe,480,0,Reino Unido,60,6.503030303030303,57090,2,6.897883597883598,6.4
1987,80,6.59,119,1,6.486925287356322,Cine negro,5,6.752380952380953,Brian De Palma,264,Kevin Costner,1229,0,Estados Unidos,26,6.506012378426171,90748,3,7.1856,7.8
1998,90,6.607142857142857,100,1,6.486925287356322,Comedia,6,6.479304635761589,Peter Berg,1670,Cameron Diaz,319,0,Estados Unidos,26,6.506012378426171,15957,1,6.494793536804309,6.2
2016,110,6.420958083832336,120,2,6.708482438701127,Ciencia ficción,4,6.490526315789474,Justin Lin,1155,Chris Pine,387,0,Estados Unidos,26,6.506012378426171,15311,1,6.494793536804309,6.0
2017,110,6.397093023255814,117,1,6.486925287356322,Drama,7,6.638080216313655,Danny Boyle,439,Ewan McGregor,657,0,Reino Unido,60,6.503030303030303,19575,1,6.494793536804309,6.2
2001,100,6.604464285714286,124,2,6.708482438701127,Drama,7,6.638080216313655,Juan José Campanella,1122,Ricardo Darín,1821,0,Argentina,5,6.716842105263158,54974,2,6.897883597883598,7.7
1990,90,6.667796610169491,127,2,6.708482438701127,Romance,12,6.470815450643777,Jerry Zucker,960,Patrick Swayze,1723,0,Estados Unidos,26,6.506012378426171,112793,3,7.1856,6.5
2008,100,6.485135135135135,116,1,6.486925287356322,Drama,7,6.638080216313655,Jonathan Demme,1062,Anne Hathaway,147,0,Estados Unidos,26,6.506012378426171,4539,1,6.494793536804309,6.0
1998,90,6.607142857142857,169,2,6.708482438701127,Romance,12,6.470815450643777,Robert Redford,1816,Robert Redford,1860,1,Estados Unidos,26,6.506012378426171,15208,1,6.494793536804309,5.8
2007,100,6.491463414634146,96,1,6.486925287356322,Comedia,6,6.479304635761589,Garth Jennings,686,Bill Milner,250,0,Reino Unido,60,6.503030303030303,3094,1,6.494793536804309,6.3
1981,80,6.720754716981132,90,1,6.486925287356322,Animación,1,6.707727272727273,Gerald Potterton,716, ,0,0,Canadá,15,6.518987341772152,5345,1,6.494793536804309,6.4
