NOTA,NOTA_AÑO,NOTA_DURACION (min),NOTA_GENERO,NOTA_DIRECCION,NOTA_PROTAGONISTA,NOTA_PAIS,NOTA_VOTOS,AÑO_RANKING,DURACION_RANKING,GENERO_RANKING,DIRECCION_RANKING,PROTAGONISTA_RANKING,PAIS_RANKING,VOTOS_RANKING
6.0,6.56,6.56,6.46,6.14,6.32,6.48,6.0,3,2,6,1,2,3,0
8.0,6.91,6.63,6.47,7.17,8.0,6.66,8.0,8,2,6,5,8,4,8
6.4,6.53,6.43,6.63,6.2,6.4,6.49,6.15,2,1,8,1,2,3,1
6.4,6.91,6.55,6.47,6.25,6.9,6.49,6.4,8,2,6,1,4,3,2
6.2,6.49,6.43,6.47,6.05,6.51,6.48,6.2,2,1,6,1,2,3,1
6.2,6.4,6.6,6.63,6.2,6.15,6.6,6.2,0,2,8,1,1,3,1
7.6,6.49,7.01,6.47,6.62,6.55,6.48,7.6,2,4,6,3,2,3,6
6.7,6.91,6.55,6.63,6.58,6.78,6.48,6.7,8,2,8,3,3,3,3
6.1,6.42,6.87,6.63,6.4,6.1,6.49,6.75,1,3,8,2,1,3,3
5.9,6.61,6.43,6.47,5.9,6.15,6.48,5.9,4,1,6,0,1,3,0
6.6,6.65,6.48,6.63,6.6,6.7,6.48,6.6,4,1,8,3,3,3,2
6.9,6.56,6.47,6.63,6.9,6.6,6.48,6.9,3,1,8,4,3,3,4
6.3,6.45,6.4,6.63,6.3,6.3,6.48,6.15,1,1,8,2,1,3,1
6.1,6.61,6.42,6.63,6.15,6.1,6.4,6.1,4,1,8,1,1,2,1
6.0,6.42,6.43,6.47,6.35,6.48,6.52,6.0,1,1,6,2,2,3,0
5.8,6.58,6.47,6.47,5.8,6.23,6.48,6.3,3,1,6,0,1,3,1
5.9,6.61,7.0,6.63,6.83,6.54,6.48,5.9,4,4,8,4,2,3,0
6.3,6.34,6.58,6.47,6.65,6.49,6.49,6.3,0,2,6,3,2,3,1
5.8,6.65,6.41,6.47,6.18,6.02,6.4,5.8,4,1,6,1,0,2,0
7.6,6.42,6.63,6.63,6.87,7.3,6.64,7.6,1,2,8,4,5,4,6
7.3,6.75,6.6,6.47,6.6,6.7,6.48,7.3,6,2,6,3,3,3,5
7.3,6.49,6.56,6.63,7.08,7.2,6.81,7.1,2,2,8,5,5,4,4
6.1,6.34,6.51,6.69,6.1,6.1,6.49,6.1,0,1,9,1,1,3,1
6.6,6.61,6.56,6.63,6.6,6.64,6.48,6.6,4,2,8,3,3,3,2
5.9,6.42,6.43,6.47,6.0,6.0,6.48,5.9,1,1,6,0,0,3,0
7.7,6.65,6.81,6.63,7.06,7.7,6.65,7.7,4,3,8,5,7,4,7
7.1,6.58,6.65,6.63,6.75,7.1,6.6,7.05,3,2,8,4,5,3,4
6.6,6.49,6.43,6.47,6.6,6.6,6.48,6.6,2,1,6,3,3,3,2
6.6,6.45,6.43,6.63,6.48,6.58,6.49,6.6,1,1,8,2,3,3,2
5.9,6.61,6.9,6.47,5.9,6.11,6.48,5.9,4,4,6,0,1,3,0
6.8,6.91,6.43,6.63,6.48,6.55,6.4,6.35,8,1,8,2,2,2,2
6.4,6.61,6.51,6.69,6.35,6.7,6.48,6.4,4,1,9,2,3,3,2
5.9,6.34,6.47,6.63,5.9,5.9,6.4,5.9,0,1,8,0,0,2,0
6.8,6.5,6.42,6.47,6.53,6.8,6.6,6.8,2,1,6,3,3,3,3
6.3,6.59,6.31,6.28,6.3,6.3,6.4,6.55,3,0,3,2,1,2,2
6.0,6.65,6.51,6.63,6.25,6.56,6.48,6.0,4,1,8,1,2,3,0
6.6,6.49,6.57,6.47,6.27,6.6,6.43,6.6,2,2,6,2,3,2,2
6.2,6.42,6.69,6.4,6.54,6.62,6.49,6.2,1,2,5,3,3,3,1
7.1,6.42,6.47,6.47,6.95,6.52,6.48,7.1,1,1,6,5,2,3,4
7.0,6.56,6.41,6.69,7.0,6.7,6.48,7.0,3,1,9,5,3,3,4
6.0,6.4,6.47,6.42,6.55,6.5,6.49,6.0,0,1,5,3,2,3,0
5.8,6.45,6.61,6.36,6.53,5.8,6.6,5.8,1,2,5,3,0,3,0
6.0,6.42,6.66,6.47,6.54,6.32,6.49,6.0,1,2,6,3,2,3,0
6.3,6.42,6.76,6.57,6.7,6.47,6.6,6.3,1,3,7,3,2,3,1
8.0,6.75,6.51,6.47,6.95,7.33,6.48,8.0,6,1,6,5,5,3,8
6.9,6.4,6.42,6.69,6.6,6.7,6.48,6.65,0,1,9,3,3,3,3
6.2,6.46,6.66,6.63,6.18,6.2,6.49,6.2,1,2,8,1,1,3,1
6.8,6.49,6.64,6.63,6.84,6.35,6.49,6.8,2,2,8,4,2,3,3
6.2,6.4,6.54,6.42,5.97,6.17,6.48,6.2,0,1,5,0,1,3,1
5.9,6.4,6.58,6.42,5.97,6.17,6.48,5.9,0,2,5,0,1,3,0
7.4,6.69,6.48,6.47,6.74,6.62,6.48,7.4,5,1,6,4,3,3,5
7.6,6.61,6.55,6.63,7.6,7.6,7.6,7.05,4,2,8,7,6,9,4
6.9,6.65,6.51,6.63,6.9,6.9,6.8,6.75,4,1,8,4,4,4,3
6.3,6.42,6.55,6.47,6.05,6.3,6.48,6.3,1,2,6,1,1,3,1
7.3,6.42,6.51,6.47,6.74,6.43,6.48,7.3,1,1,6,4,2,3,5
6.6,6.65,6.69,6.63,6.62,6.83,6.48,6.6,4,2,8,3,3,3,2
7.0,6.49,6.54,6.47,6.89,6.72,6.48,7.0,2,1,6,4,3,3,4
6.1,6.45,6.51,6.28,6.86,6.56,6.78,6.1,1,1,3,4,2,4,1
6.0,6.5,6.61,6.47,6.0,6.0,6.6,6.0,2,2,6,0,0,3,0
7.3,6.69,6.48,6.63,6.7,7.3,6.54,6.9,5,1,8,3,5,3,4
6.5,6.58,6.58,6.63,6.6,6.55,6.48,6.5,3,2,8,3,2,3,2
8.2,6.89,7.14,6.68,6.9,7.17,6.48,8.2,8,5,9,4,5,3,8
7.2,6.53,6.69,6.46,6.68,7.2,6.48,7.2,2,2,6,3,5,3,5
6.4,6.69,6.76,6.63,6.51,6.48,6.48,6.4,5,3,8,3,2,3,2
6.3,6.44,6.47,6.58,6.4,6.73,6.48,6.3,1,1,7,2,3,3,1
6.4,6.6,6.51,6.69,6.15,6.7,6.78,6.4,4,1,9,1,3,4,2
6.9,6.44,6.6,6.63,6.77,6.71,6.78,6.55,1,2,8,4,3,4,2
6.2,6.42,6.43,6.63,6.3,6.77,6.48,6.2,1,1,8,2,3,3,1
6.6,6.7,6.4,6.47,7.28,7.48,6.48,6.6,5,1,6,6,6,3,2
6.9,6.58,6.56,6.63,6.9,6.9,6.52,6.73,3,2,8,4,4,3,3
7.0,6.5,6.61,6.47,6.75,7.0,6.6,7.0,2,2,6,4,4,3,4
7.6,6.66,6.6,6.63,7.21,6.6,6.48,7.6,4,2,8,6,3,3,6
7.4,6.45,6.76,6.47,6.67,6.75,6.72,7.4,1,3,6,3,3,4,5
7.2,6.42,6.6,6.47,6.85,6.53,6.48,7.2,1,2,6,4,2,3,5
6.6,6.59,6.48,6.47,6.93,6.37,6.48,6.6,3,1,6,4,2,3,2
6.6,6.61,6.58,6.51,6.6,6.58,6.48,6.6,4,2,6,3,3,3,2
5.8,6.66,6.41,6.58,5.8,6.02,6.48,5.8,4,1,7,0,0,3,0
6.7,6.49,6.65,6.47,6.55,6.53,6.49,6.7,2,2,6,3,2,3,3
6.7,6.59,6.53,6.36,6.5,6.32,6.48,6.7,3,1,5,3,2,3,3
6.1,6.62,6.55,6.36,6.5,6.32,6.48,6.1,4,2,5,3,2,3,1
6.5,6.46,6.51,6.47,6.3,6.5,6.48,6.5,1,1,6,2,2,3,2
6.5,6.45,6.56,6.63,6.28,6.5,6.48,6.45,1,2,8,2,2,3,2
6.4,6.66,6.6,6.47,6.28,6.43,6.48,6.4,4,2,6,2,2,3,2
6.5,6.71,6.4,6.36,6.5,6.3,6.56,6.5,5,1,5,3,1,3,2
7.6,6.65,6.74,6.63,7.32,7.6,6.75,7.6,4,3,8,6,6,4,6
5.9,6.49,6.74,6.46,5.85,5.9,6.8,5.9,2,3,6,0,0,4,0
7.2,6.89,6.55,6.51,7.2,6.9,6.4,7.2,8,2,6,6,4,2,5
7.2,6.49,6.51,6.69,6.87,6.7,6.78,7.35,2,1,9,4,3,4,5
6.4,6.44,6.47,6.47,6.4,6.4,6.65,6.6,1,1,6,2,2,4,2
6.5,6.46,6.47,6.69,6.45,6.7,6.49,6.5,1,1,9,2,3,3,2
7.7,6.45,6.7,6.47,6.94,6.95,6.4,7.7,1,2,6,4,4,2,7
5.9,6.44,6.54,6.4,6.23,5.9,6.78,5.9,1,1,5,1,0,4,0
6.9,6.8,6.42,6.36,6.42,6.9,6.48,6.9,7,1,5,2,4,3,4
6.2,6.49,6.41,6.36,6.1,6.35,6.48,6.2,2,1,5,1,2,3,1
6.3,6.61,6.56,6.51,6.31,6.37,6.48,6.3,4,2,6,2,2,3,1
7.0,6.87,6.63,6.51,6.89,6.75,6.49,7.0,8,2,6,4,3,3,4
6.6,6.89,6.58,6.47,6.53,6.42,6.49,6.65,8,2,6,3,2,3,3
